,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
10567,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,3931,53,,C0,166 NORWOOD AVENUE,,11208,3,0,3,"3,088","2,700",1899,1,C0,1075000.00,3/18/2022,40.6820979,-73.8796309
10568,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,3956,33,,C0,261 LINWOOD STREET,,11208,3,0,3,"1,013","1,428",1901,1,C0,0.00,6/29/2022,40.6794915,-73.8833996
10569,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4107,67,,C0,76 AUTUMN AVENUE,,11208,3,0,3,"1,800","1,860",1910,1,C0,0.00,4/18/2022,40.6884406,-73.8715892
10570,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4111,5,,C0,107 NICHOLS AVENUE,,11208,3,0,3,"1,700","3,036",1901,1,C0,785000.00,5/25/2022,40.6882842,-73.8692638
10571,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4112,77,,C0,68 ELDERT LANE,,11208,3,0,3,"2,461","2,248",1905,1,C0,0.00,12/8/2022,40.6895399,-73.8680137
10572,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4114,26,,C0,150 ETNA STREET,,11208,3,0,3,"2,373","2,318",1910,1,C0,0.00,10/20/2022,40.6855957,-73.877966
10573,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4118,9,,C0,27 PINE STREET,,11208,3,0,3,"1,929","1,938",1910,1,C0,875000.00,2/7/2022,40.6860658,-73.8735986
10574,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4118,41,,C0,146 CRESCENT STREET,,11208,3,0,3,"1,978","2,776",1910,1,C0,0.00,3/2/2022,40.6857552,-73.8731413
10576,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4121,20,,C0,139 AUTUMN AVENUE,,11208,3,0,3,"1,755","2,036",1905,1,C0,985000.00,5/5/2022,40.6869519,-73.8706799
10577,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4121,22,,C0,135 AUTUMN AVENUE,,11208,3,0,3,"1,969","2,260",1905,1,C0,910000.00,5/26/2022,40.6870645,-73.8707157
10578,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4126,24,,C0,133 LOGAN STREET,,11208,3,0,3,"3,937","2,480",1901,1,C0,0.00,12/8/2022,40.683688,-73.8778901
10579,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4126,60,,C0,192 RICHMOND STREET,,11208,3,0,3,"3,000","3,420",1910,1,C0,0.00,4/25/2022,40.6826798,-73.8770807
10580,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4128,11,,C0,185 CHESTNUT STREET,,11208,3,0,3,"2,499","3,696",1901,1,C0,300000.00,10/14/2022,40.6835067,-73.8752512
10581,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4128,17,,C0,165 CHESTNUT STREET,,11208,3,0,3,"2,000","3,444",1901,1,C0,950000.00,11/10/2022,40.6839488,-73.8753585
10582,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4129,17,,C0,179 EUCLID AVENUE,,11208,3,0,3,"1,833","2,484",1899,1,C0,0.00,4/8/2022,40.6842411,-73.8740888
10583,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4130,32,,C0,422 RIDGEWOOD AVENUE,,11208,3,0,3,"1,931","3,030",1901,1,C0,0.00,5/13/2022,40.6850881,-73.8730921
10584,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4132,18,,C0,201 HEMLOCK STREET,,11208,3,0,3,"2,000","3,120",1910,1,C0,0.00,9/2/2022,40.6849707,-73.8711488
10585,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4132,28,,C0,177 HEMLOCK STREET,,11208,3,0,3,"2,000","3,120",1910,1,C0,0.00,1/17/2023,40.6855115,-73.8712776
10586,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4137,35,,C0,224 LOGAN STREET,,11208,3,0,3,"2,850","3,138",1910,1,C0,0.00,6/4/2022,40.6810257,-73.878014
10587,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4147,9,,C0,289 CRESCENT STREET,,11208,3,0,3,"1,950","2,964",1910,1,C0,0.00,3/7/2022,40.6823223,-73.8714784
10588,3,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,1,4150,6,,C0,285 LINCOLN AVENUE,,11208,3,0,3,"1,750","2,080",1910,1,C0,0.00,3/31/2022,40.6832308,-73.868978
10594,3,CYPRESS HILLS,05 TAX CLASS 1 VACANT LAND,1B,3950,7,,V0,221 BARBEY STREET,,11207,0,0,0,"2,374",0,,1,V0,350000.00,10/20/2022,40.677825,-73.8885364
10597,3,CYPRESS HILLS,05 TAX CLASS 1 VACANT LAND,1B,4145,13,,V0,279 EUCLID AVENUE,,11208,0,0,0,"14,986",0,,1,V0,0.00,12/1/2022,40.6818743,-73.8733578
10598,3,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,3957,9,,C3,193 ESSEX STREET,,11208,4,0,4,"2,499","3,000",1901,2,C3,0.00,9/30/2022,40.6796606,-73.8823862
10599,3,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,3958,40,,C3,212 HIGHLAND PLACE,,11208,4,0,4,"2,600","4,875",1905,2,C3,0.00,12/8/2022,40.6799832,-73.8811237
10600,3,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,4103,1,,C3,59 RICHMOND STREET,,11208,4,0,4,"4,100","7,379",1920,2,C3,0.00,4/28/2022,40.6860917,-73.8772403
10601,3,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,4108,67,,C2,54 LINCOLN AVENUE,,11208,6,0,6,"2,295","4,860",1915,2,C2,1977000.00,8/23/2022,40.6890573,-73.8708453
10602,3,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,4127,42,,C3,174 CHESTNUT STREET,,11208,4,0,4,"3,749","2,500",1915,2,C3,0.00,6/30/2022,40.683686,-73.87599
10603,3,CYPRESS HILLS,07 RENTALS - WALKUP APARTMENTS,2A,4133,44,,C3,204 LINCOLN AVENUE,,11208,4,0,4,"1,750","3,300",1915,2,C3,710000.00,2/22/2022,40.685134,-73.8699298
10604,3,CYPRESS HILLS,08 RENTALS - ELEVATOR APARTMENTS,2,3662,48,,D6,2715 FULTON STREET,,11207,42,5,47,"1,874","49,282",2022,2,D6,0.00,11/29/2022,40.677784,-73.8945608
10605,3,CYPRESS HILLS,08 RENTALS - ELEVATOR APARTMENTS,2,3662,48,,D6,2715 FULTON STREET,,11207,42,5,47,"1,874","49,282",2022,2,D6,4005218.00,12/30/2022,40.677784,-73.8945608
10612,3,CYPRESS HILLS,14 RENTALS - 4-10 UNIT,2A,3486,7,,S5,99 JAMAICA AVENUE,,11207,5,1,6,"4,550","5,200",1931,2,S5,0.00,6/8/2022,40.6788809,-73.8964374
10614,3,CYPRESS HILLS,14 RENTALS - 4-10 UNIT,2A,3941,21,,S5,2989 FULTON STREET,,11208,5,1,6,"2,505","4,686",1910,2,S5,0.00,8/19/2022,40.6802391,-73.8844114
10616,3,CYPRESS HILLS,14 RENTALS - 4-10 UNIT,2A,4115,53,,S4,341 RIDGEWOOD AVENUE,,11208,4,1,5,"1,618","3,700",1915,2,S4,860000.00,8/11/2022,40.6846798,-73.8762441
10618,3,CYPRESS HILLS,14 RENTALS - 4-10 UNIT,2B,4121,95,,S5,166 NICHOLS AVENUE,,11208,6,1,7,"3,483","7,084",1915,2,S5,0.00,9/7/2022,40.68672,-73.8695012
10621,3,CYPRESS HILLS,14 RENTALS - 4-10 UNIT,2A,4147,40,,S4,3372 FULTON STREET,,11208,4,1,5,"2,240","4,380",1920,2,S4,0.00,2/14/2022,40.6836835,-73.8712775
10622,3,CYPRESS HILLS,21 OFFICE BUILDINGS,4,3669,34,,O7,2639 ATLANTIC AVENUE,,11207,0,1,1,"2,188","3,548",1920,4,O7,0.00,12/27/2022,40.6760188,-73.8972242
10623,3,CYPRESS HILLS,22 STORE BUILDINGS,4,3671,34,,K1,154 VERMONT STREET,,11207,0,1,1,"2,266",912,1930,4,K1,0.00,9/15/2022,40.6763354,-73.8952986
10624,3,CYPRESS HILLS,22 STORE BUILDINGS,4,4105,34,,K2,802 JAMAICA AVENUE,,11208,0,1,1,"9,489","9,445",1930,4,K2,2550000.00,11/4/2022,40.6885457,-73.874874
10625,3,CYPRESS HILLS,29 COMMERCIAL GARAGES,4,3483,1,,G2,1773 BUSHWICK AVENUE,,11207,0,2,2,"2,208","2,083",1931,4,G2,1650000.00,9/9/2022,40.6785722,-73.8981504
10626,3,CYPRESS HILLS,29 COMMERCIAL GARAGES,4,3483,37,,G7,46 MARGINAL ST WEST,,11207,0,0,0,"3,383",0,2012,4,G9,1650000.00,9/9/2022,40.6786766,-73.8982657
10627,3,CYPRESS HILLS,29 COMMERCIAL GARAGES,4,3662,20,,V1,124 JAMAICA AVENUE,,11207,0,0,0,"3,468",0,1914,4,G9,1700000.00,7/13/2022,40.6788525,-73.8954785
10628,3,CYPRESS HILLS,29 COMMERCIAL GARAGES,4,3662,22,,V1,128 JAMAICA AVENUE,,11207,0,0,0,"6,313",0,1923,4,G2,1700000.00,7/13/2022,40.6789073,-73.8952909
10629,3,CYPRESS HILLS,29 COMMERCIAL GARAGES,4,3662,49,,G9,2709 FULTON STREET,,11207,0,1,1,"5,625","1,430",1994,4,G9,1550000.00,5/5/2022,40.6777567,-73.8947411
10630,3,CYPRESS HILLS,29 COMMERCIAL GARAGES,4,4108,10,,G2,900 JAMAICA AVENUE,,11208,0,1,1,"7,499","3,750",1977,4,G2,1600000.00,10/25/2022,40.6901641,-73.8714165
10631,3,CYPRESS HILLS,30 WAREHOUSES,4,4145,1,,E7,3329 ATLANTIC AVENUE,,11208,0,1,1,"19,685","110,104",2009,4,E7,0.00,12/1/2022,40.6815367,-73.8733368
10632,3,CYPRESS HILLS,30 WAREHOUSES,4,4145,23,,E7,257R EUCLID AVENUE,,11208,0,1,1,"13,273","13,310",1964,4,E7,0.00,12/1/2022,40.6824891,-73.8733674
10633,3,CYPRESS HILLS,30 WAREHOUSES,4,4152,26,,E1,3484 FULTON STREET,,11208,0,1,1,"27,225","37,450",1914,4,E1,6980000.00,3/24/2022,40.684793,-73.8669594
10635,3,CYPRESS HILLS,31 COMMERCIAL VACANT LAND,4,3662,49,,V1,2709 FULTON STREET,,11207,0,0,0,"5,624",0,1994,4,V1,4005218.00,12/30/2022,40.6777567,-73.8947411
10636,3,CYPRESS HILLS,31 COMMERCIAL VACANT LAND,4,3662,52,,V1,2701 FULTON STREET,,11207,0,0,0,"2,099",0,1901,4,V1,4005218.00,12/30/2022,40.6777294,-73.8949286
10639,3,DOWNTOWN-FULTON FERRY,02 TWO FAMILY DWELLINGS,1,34,115,,B1,60 LITTLE STREET,,11201,2,0,2,"1,990","3,144",2005,1,B1,2550000.00,3/4/2022,40.7032499,-73.9803367
10640,3,DOWNTOWN-FULTON FERRY,03 THREE FAMILY DWELLINGS,1,44,14,,C0,91 HUDSON AVENUE,,11201,3,0,3,"2,120","4,575",2004,1,C0,0.00,12/30/2022,40.7020726,-73.9810331
10641,3,DOWNTOWN-FULTON FERRY,08 RENTALS - ELEVATOR APARTMENTS,2,41,7,,D5,57 JAY STREET,,11201,23,1,24,"5,374","27,448",1931,2,D5,7850000.00,7/13/2022,40.7029708,-73.9863598
11007,3,DOWNTOWN-FULTON FERRY,27 FACTORIES,4,43,20,,F9,304 WATER STREET,,11201,0,1,1,"1,874","2,802",1920,4,F9,1850000.00,12/29/2022,40.7027424,-73.9817867
11008,3,DOWNTOWN-FULTON FERRY,30 WAREHOUSES,4,22,16,,E7,160 JOHN STREET,,11201,0,1,1,"15,600","99,270",1911,4,E7,43550000.00,7/15/2022,40.7040571,-73.9817394
11009,3,DOWNTOWN-FULTON FERRY,30 WAREHOUSES,1B,55,20,,V0,218 FRONT STREET,,11201,0,0,0,"49,200",0,1960,4,E1,0.00,10/7/2022,40.7018753,-73.9837417
11029,3,DOWNTOWN-FULTON MALL,01 ONE FAMILY DWELLINGS,1,170,57,,A5,271 STATE STREET,,11201,1,0,1,"1,590","4,296",2005,1,A5,4985000.00,2/3/2022,40.6891539,-73.9879023
11030,3,DOWNTOWN-FULTON MALL,01 ONE FAMILY DWELLINGS,1,171,106,,A5,347 STATE STREET,,11217,1,0,1,"1,351","3,206",2013,1,A5,0.00,4/11/2022,40.6880666,-73.9851224
11031,3,DOWNTOWN-FULTON MALL,02 TWO FAMILY DWELLINGS,1,171,207,,B1,317A STATE STREET,,11217,2,0,2,"1,336","3,141",2018,1,B1,4450000.00,4/26/2022,40.6884263,-73.9860455
11032,3,DOWNTOWN-FULTON MALL,02 TWO FAMILY DWELLINGS,1,172,54,,B3,397 STATE STREET,,11217,2,0,2,"2,115","2,488",1940,1,B3,1478000.00,4/6/2022,40.687317,-73.9830709
11034,3,DOWNTOWN-FULTON MALL,07 RENTALS - WALKUP APARTMENTS,2A,173,37,,C3,461 STATE STREET,,11217,4,0,4,"2,000","4,024",1899,2,C3,4300000.00,8/30/2022,40.686334,-73.9806049
11359,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS,4,145,45,,K4,517 FULTON STREET,,11201,0,1,1,"1,573","4,603",1920,4,K4,6489396.00,9/30/2022,40.6906137,-73.9846206
11360,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS,4,151,5,,K4,461 FULTON STREET,,11201,0,2,2,"4,839","12,420",2021,4,K4,0.00,11/21/2022,40.6914484,-73.9867191
11361,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS,4,151,8,,K4,455 FULTON STREET,,11201,0,1,1,"2,299","4,650",1920,4,K4,0.00,12/14/2022,40.6915499,-73.9868381
11362,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS,4,151,9,,K4,453 FULTON STREET,,11201,0,2,2,"1,490","1,490",1920,4,K4,0.00,12/14/2022,40.6915115,-73.9869139
11363,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS,4,154,18,,K4,376 FULTON STREET,,11201,0,1,1,"3,214","7,401",1920,4,K4,0.00,5/17/2022,40.6912975,-73.9877433
11364,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS,4,154,19,,K4,380 FULTON STREET,,11201,0,3,3,"11,246","44,100",1915,4,K4,0.00,5/17/2022,40.6912234,-73.9881111
11365,3,DOWNTOWN-FULTON MALL,22 STORE BUILDINGS,4,167,26,,K4,60 FLATBUSH AVENUE,,11217,0,1,1,"1,749","6,100",1920,4,K4,25500000.00,8/25/2022,40.6871683,-73.9800638
11369,3,DOWNTOWN-FULTON MALL,31 COMMERCIAL VACANT LAND,4,149,14,,V1,589 FULTON STREET,,11201,0,0,0,"27,530",0,,4,V1,144374697.00,8/3/2022,40.6895455,-73.9817614
11370,3,DOWNTOWN-FULTON MALL,31 COMMERCIAL VACANT LAND,4,149,23,,V1,571 FULTON STREET,,11201,0,0,0,"4,190",0,,4,V1,0.00,2/4/2022,,
11372,3,DOWNTOWN-FULTON MALL,31 COMMERCIAL VACANT LAND,4,271,45,,V1,88 SCHERMERHORN STREET,,11201,0,0,0,"3,332",0,,4,V1,11250000.00,7/26/2022,40.6903426,-73.9904154
11377,3,DOWNTOWN-METROTECH,03 THREE FAMILY DWELLINGS,1,121,14,,C0,45 DUFFIELD STREET,,11201,3,0,3,"2,174","3,915",1910,1,C0,4200000.00,1/25/2023,40.6968963,-73.9838042
11378,3,DOWNTOWN-METROTECH,03 THREE FAMILY DWELLINGS,1,121,23,,C0,184 CONCORD STREET,,11201,3,0,3,"2,504","4,000",1905,1,C0,2220000.00,2/22/2022,40.697352,-73.9837247
11379,3,DOWNTOWN-METROTECH,07 RENTALS - WALKUP APARTMENTS,2A,121,5,,C2,63 DUFFIELD STREET,,11201,6,0,6,"2,533","6,360",1905,2,C2,2169378.00,8/30/2022,40.6963886,-73.9838295
11380,3,DOWNTOWN-METROTECH,08 RENTALS - ELEVATOR APARTMENTS,2,119,55,,D6,22 CHAPEL STREET,,11201,180,3,183,"27,434","164,559",2019,2,D6,48825700.00,8/31/2022,40.6970421,-73.9856938
11489,3,DOWNTOWN-METROTECH,21 OFFICE BUILDINGS,4,2058,40,,O5,182 DUFFIELD STREET,,11201,0,1,1,"9,864","10,496",1993,4,O5,10000000.00,12/13/2022,40.6927793,-73.9845949
11490,3,DOWNTOWN-METROTECH,29 COMMERCIAL GARAGES,4,121,32,,G7,236 GOLD STREET,,11201,0,0,0,"1,079",0,,4,G7,3650000.00,8/16/2022,40.6971269,-73.9834399
11492,3,DOWNTOWN-METROTECH,30 WAREHOUSES,4,107,48,,E1,127 CONCORD STREET,,11201,0,1,1,"6,900","7,650",1910,4,E1,12800000.00,5/10/2022,40.6979287,-73.986231
11502,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,5772,51,,A5,1049 BAY RIDGE AVENUE,,11219,1,0,1,"1,496","1,352",1925,1,A5,1020000.00,12/8/2022,40.6270645,-74.0090819
11508,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,5934,52,,A5,977 BAY RIDGE PARKWAY,,11228,1,0,1,"2,100","1,666",1925,1,A5,980000.00,4/28/2022,40.6248077,-74.0143087
11517,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,5955,58,,A5,1049 77 STREET,,11228,1,0,1,"1,950","1,326",1930,1,A5,0.00,11/18/2022,40.6225406,-74.0138039
11527,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,5984,69,,A9,1023 80 STREET,,11228,1,0,1,"1,866","1,232",1925,1,A9,0.00,6/7/2022,40.6212173,-74.0161414
11538,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,6021,6,,A1,8311 7 AVENUE,,11228,1,0,1,"2,516","1,752",1925,1,A1,999000.00,11/14/2022,40.6201983,-74.0201684
11547,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,6222,12,,A5,1316 BAY RIDGE PARKWAY,,11228,1,0,1,"1,774","1,878",1925,1,A5,0.00,10/24/2022,40.6198046,-74.007179
11557,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,6242,24,,A9,1142 77 STREET,,11228,1,0,1,"2,007","1,312",1920,1,A9,1090000.00,9/30/2022,40.6209625,-74.0121213
11560,3,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,1,6242,56,,A9,1153 78 STREET,,11228,1,0,1,"2,000","1,376",1920,1,A9,0.00,3/30/2022,40.6205782,-74.0120636
11609,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5760,30,,B3,1258 66 STREET,,11219,2,0,2,"3,778","1,782",1920,1,B3,0.00,8/5/2022,40.6256485,-74.0030657
11621,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5766,67,,B1,1143 OVINGTON AVENUE,,11219,2,0,2,"2,560","2,930",1955,1,B1,0.00,12/15/2022,40.6262988,-74.0064772
11623,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5767,56,,B2,1263 OVINGTON AVENUE,,11219,2,0,2,"2,160","2,580",1925,1,B2,0.00,12/7/2022,40.6244819,-74.0035844
11630,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5772,50,,B3,1051 BAY RIDGE AVENUE,,11219,2,0,2,"1,533","1,352",1925,1,B3,0.00,1/5/2023,40.6270315,-74.0090243
11633,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5773,46,,B1,1163 BAY RIDGE AVENUE,,11219,2,0,2,"1,740","2,970",1930,1,B1,0.00,12/21/2022,40.6255358,-74.0065492
11635,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5879,30,,B1,958 BAY RIDGE AVENUE,,11219,2,0,2,"2,300","3,177",1910,1,B1,0.00,7/20/2022,40.6279618,-74.0114057
11643,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5898,71,,B1,1033 71 STREET,,11228,2,0,2,"2,000","3,210",1899,1,B1,0.00,12/14/2022,40.6262162,-74.0106129
11656,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5946,32,,B1,1062 BAY RIDGE PARKWAY,,11228,2,0,2,"2,000","2,160",1925,1,B1,0.00,4/8/2022,40.6231418,-74.0127053
11669,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5992,5,,B1,8017 7 AVENUE,,11228,2,0,2,"2,323","2,040",1920,1,B1,985000.00,12/19/2022,40.6223449,-74.0192901
11670,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,5992,37,,B3,968 80 STREET,,11228,2,0,2,"2,500","1,856",1925,1,B3,0.00,3/9/2022,40.6216699,-74.0178094
11678,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6154,16,,B1,1126 BAY RIDGE AVENUE,,11219,2,0,2,"2,000","4,000",1930,1,B1,1500000.00,5/19/2022,40.6257635,-74.0077705
11680,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6154,125,,B1,1150 BAY RIDGE AVENUE,,11219,2,0,2,"2,000","4,000",1930,1,B1,1540000.00,12/6/2022,40.6254232,-74.0072048
11681,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6156,13,,B1,1316 BAY RIDGE AVENUE,,11219,2,0,2,"2,000","3,000",1910,1,B1,0.00,4/20/2022,40.6232413,-74.0035915
11682,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6156,13,,B1,1316 BAY RIDGE AVENUE,,11219,2,0,2,"2,000","3,000",1910,1,B1,0.00,1/25/2023,40.6232413,-74.0035915
11703,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6198,43,,B1,7314 12 AVENUE,,11228,2,0,2,"2,000","1,920",1930,1,B1,1250000.00,3/1/2022,40.6226481,-74.0089913
11707,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6210,53,,B1,1261 BAY RIDGE PARKWAY,,11228,2,0,2,"2,000","3,120",1915,1,B1,1300000.00,1/23/2023,40.620908,-74.00786
11708,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6210,77,,B1,1203 BAY RIDGE PARKWAY,,11228,2,0,2,"2,000","3,000",1915,1,B1,0.00,2/1/2022,40.6217258,-74.0092145
11710,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6211,70,,B1,1319 BAY RIDGE PARKWAY,,11228,2,0,2,"2,600","2,460",1920,1,B1,1545000.00,9/29/2022,40.6202081,-74.0066964
11711,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6220,9,,B1,1106 BAY RIDGE PARKWAY,,11228,2,0,2,"1,966","1,360",1940,1,B1,0.00,6/21/2022,40.6226067,-74.0117938
11736,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6280,53,,B3,1343 81 STREET,,11228,2,0,2,"2,524","1,840",1935,1,B3,1525000.00,7/22/2022,40.6163899,-74.0096532
11741,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6291,60,,B9,1237 82 STREET,,11228,2,0,2,"2,932","2,437",1960,1,B9,1500000.00,10/11/2022,40.6171939,-74.0124845
11756,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6322,22,,B1,1340 84 STREET,,11228,2,0,2,"1,566","1,635",1945,1,B1,1134230.00,8/15/2022,40.6144299,-74.0118536
11757,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6322,39,,B3,8404 14 AVENUE,,11228,2,0,2,"2,000","1,540",1930,1,B3,950000.00,6/29/2022,40.6139167,-74.0108882
11760,3,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,1,6322,59,,B9,1347 85 STREET,,11228,2,0,2,"2,149","1,484",1950,1,B9,0.00,12/4/2022,40.614128,-74.01194
11774,3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,1,5775,51,,C0,1357 BAY RIDGE AVENUE,,11219,3,0,3,"3,999","2,904",1910,1,C0,1975000.00,7/1/2022,40.622986,-74.0022514
11776,3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,1,5880,32,,C0,1064 BAY RIDGE AVENUE,,11219,3,0,3,"2,475","3,091",1925,1,C0,0.00,2/9/2022,40.6265402,-74.009053
11784,3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,1,6155,14,,C0,1220 BAY RIDGE AVENUE,,11219,3,0,3,"2,350","2,584",1930,1,C0,0.00,6/10/2022,40.624523,-74.005717
11785,3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,1,6155,15,,C0,1222 BAY RIDGE AVENUE,,11219,3,0,3,"2,350","2,584",1930,1,C0,1838000.00,7/26/2022,40.6244818,-74.0056521
11787,3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,1,6155,63,,C0,1237 70 STREET,,11228,3,0,3,"2,667","2,584",1930,1,C0,0.00,4/25/2022,40.6240646,-74.005544
11804,3,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,1,6210,55,,C0,1257 BAY RIDGE PARKWAY,,11228,3,0,3,"2,000","3,000",1915,1,C0,1400000.00,2/11/2022,40.6209766,-74.0079752
11840,3,DYKER HEIGHTS,05 TAX CLASS 1 VACANT LAND,1B,6267,2,,V0,7917 12TH AVENUE,,11228,0,0,0,"3,000",0,,1,V0,750000.00,2/18/2022,40.618849,-74.0121246
11843,3,DYKER HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2A,5767,45,,C2,6706 13 AVENUE,,11219,6,0,6,"2,000","4,500",1920,2,C2,150000.00,6/10/2022,40.6248003,-74.0031665
11846,3,DYKER HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2A,6156,21,,C2,1336 BAY RIDGE AVENUE,,11219,6,0,6,"3,032","5,441",1925,2,C2,2498000.00,12/19/2022,40.6229613,-74.0031268
11847,3,DYKER HEIGHTS,07 RENTALS - WALKUP APARTMENTS,2A,6156,22,,C2,1340 BAY RIDGE AVENUE,,11219,6,0,6,"2,967","5,441",1930,2,C2,2498000.00,12/19/2022,40.6229119,-74.0030403
11865,3,DYKER HEIGHTS,29 COMMERCIAL GARAGES,4,5983,9,,G7,7901 7 AVENUE,,11228,0,0,0,"3,179",0,,4,G7,0.00,12/3/2022,40.6233496,-74.0189049
11876,3,EAST NEW YORK,01 ONE FAMILY DWELLINGS,1,3757,57,,A5,389 VERMONT STREET,,11207,1,0,1,"1,799","1,134",1990,1,A5,0.00,7/18/2022,40.6701742,-73.8931561
11877,3,EAST NEW YORK,01 ONE FAMILY DWELLINGS,1,3757,81,,A5,446 BELMONT AVENUE,,11207,1,0,1,"1,800","1,134",1990,1,A5,600000.00,5/3/2022,40.6707752,-73.8930218
11878,3,EAST NEW YORK,01 ONE FAMILY DWELLINGS,1,3765,133,,A5,306 SNEDIKER AVENUE,,11207,1,0,1,"1,802","1,260",1999,1,A5,0.00,4/26/2022,40.6676998,-73.9008526
11880,3,EAST NEW YORK,01 ONE FAMILY DWELLINGS,1,3775,112,,A5,395 WYONA STREET,,11207,1,0,1,"1,799","1,134",1990,1,A5,0.00,6/10/2022,40.6690202,-73.8919071
